AMD,Advanced Micro Devices,AMD Research, AMD Inc.,Advanced Micro Devices; Inc.,,,,,,,,,,,,,,,,,,,,
Apple,Apple Austin,Apple Inc,,,,,,,,,,,,,,,,,,,,,,
ARM,ARM Holdings,ARM Research,Arm Inc.,Arm,Arm Inc,ARM Inc,Arm Research,,,,,,,,,,,,,,,,,
ASU,Arizona State,Arizona State University,,,,,,,,,,,,,,,,,,,,,,
Ajou University,,,,,,,,,,,,,,,,,,,,,,,,
Mei University,,,,,,,,,,,,,,,,,,,,,,,,
TOBB university,TOBB,TOBB ETU,,,,,,,,,,,,,,,,,,,,,,
Yale,Yale University,,,,,,,,,,,,,,,,,,,,,,,
University of Arizona,,,,,,,,,,,,,,,,,,,,,,,,
University of Kent,Kent,,,,,,,,,,,,,,,,,,,,,,,
University of Twente,,,,,,,,,,,,,,,,,,,,,,,,
Utah,University of Utah,U. of Utah,The University of Utah,,,,,,,,,,,,,,,,,,,,,
University of Iowa,,,,,,,,,,,,,,,,,,,,,,,,
IT University of Copenhagen,,,,,,,,,,,,,,,,,,,,,,,,
BSC,Barcelona Supercomputing Center,Barcelona Supercomputing Center - BSC,,,,,,,,,,,,,,,,,,,,,,
Binghampton,Binghamton University,SUNY,SUNY Binghampton,Binghampton University,SUNY Binghamton,Binghamton,,,,,,,,,,,,,,,,,,
Boston University,BU,Boston,Boston U,,,,,,,,,,,,,,,,,,,,,
Brown,Brown University,,,,,,,,,,,,,,,,,,,,,,,
Bar Ilan University,,,,,,,,,,,,,,,,,,,,,,,,
BYU,Brigham Young,Brigham Young University,,,,,,,,,,,,,,,,,,,,,,
Cambridge,Cambridge University,U Cambridge,University of Cambridge,,,,,,,,,,,,,,,,,,,,,
Campinas,University of Campinas,,,,,,,,,,,,,,,,,,,,,,,
University of Arkansas,Arkansas University,,,,,,,,,,,,,,,,,,,,,,,
CAS,Chinese Academy of Sciences,ICT,Institute of Computing Technology,CAS;China,CAS/ICT,Institute of Computing Technology Chinese Academy of Sciences,ICT; CAS,ICT; Chinese Academy of Sciences,Institute of Computing Techonlogy; Chinese Academy of Sciences,,,,,,,,,,,,,,,
Illinois Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,
Univ. of Illinois,university of illinois at urbana champaign,Univ. Illinois,,,,,,,,,,,,,,,,,,,,,,
Shenzhen Institute of Advanced Technology; CAS,,,,,,,,,,,,,,,,,,,,,,,,
Catania,University of Catania,,,,,,,,,,,,,,,,,,,,,,,
University of Alberta,,,,,,,,,,,,,,,,,,,,,,,,
Cavium,Cavium Inc,,,,,,,,,,,,,,,,,,,,,,,
Chalmers,Chalmers University of Technology,,,,,,,,,,,,,,,,,,,,,,,
City University of Hong Kong,University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,
Chinese University of Hong Kong, Chinese University at Hong Kong,,,,,,,,,,,,,,,,,,,,,,,
CMU,carnegie mellon university,Carnegie Mellon University,Carnegie Mellon University / ETHZ,Carnegie Melon University,Carnegie Mellon,Carnigie Melon University,,,,,,,,,,,,,,,,,,
Columbia,Columbia University,University of Columbia,,,,,,,,,,,,,,,,,,,,,,
Cyprus,University of Cyprus,U. Cyprus,,,,,,,,,,,,,,,,,,,,,,
Cyprus University of Technology,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,Uniersity of Connecticut,U Connecticut,Univ. of Connecticut,University of Connecticut,,,,,,,,,,,,,,,,,,,,
Cornell,Cornell University,,,,,,,,,,,,,,,,,,,,,,,
Drexel University,Drexel,,,,,,,,,,,,,,,,,,,,,,,
Duke,Duke University,,,,,,,,,,,,,,,,,,,,,,,
Asoka University,,,,,,,,,,,,,,,,,,,,,,,,
Nagoya University,,,,,,,,,,,,,,,,,,,,,,,,
Edinburgh,University of Edinburgh,U. Edinburgh,U. of Edinburgh,Univ. Edinburg,,,,,,,,,,,,,,,,,,,,
ETH,eth zurich,ETH Zurich,ETH Zurich,ETH-Zurich,Swiss Federal Institute of Technology in Zurich,Eidgenossische Technische Hochschule Zurich,ETHZ,,,,,,,,,,,,,,,,,
Facebook,Facebook Research,Facebook/NYU,NYU,Facebook and NYU,,,,,,,,,,,,,,,,,,,,
Facebook,Facebook Research,,,,,,,,,,,,,,,,,,,,,,,
Florida,University of Florida,U of Florida,Univ of Florida,Univ. of Florida,U. of Florida,,,,,,,,,,,,,,,,,,,
UBFC; FEMTO-ST Institute,,,,,,,,,,,,,,,,,,,,,,,,
Fujitsu,,,,,,,,,,,,,,,,,,,,,,,,
Ghent,Ghent University,Ghen,Ghent University - UGent,UGent,University of Ghent,,,,,,,,,,,,,,,,,,,
Georgia Tech,georgia institute of technology,Georgia,Georgia Institute of Technology,GA Tech,GATech,Gatech,GT,,,,,,,,,,,,,,,,,
UGA, University of Georgia,,,,,,,,,,,,,,,,,,,,,,,
George Washington University,GWU,George,,,,,,,,,,,,,,,,,,,,,,
George Mason University,,,,,,,,,,,,,,,,,,,,,,,,
Georgetown University,,,,,,,,,,,,,,,,,,,,,,,,
Washington State University,,,,,,,,,,,,,,,,,,,,,,,,
Google/Berkeley,Google,Google/UC Berkeley,,,,,,,,,,,,,,,,,,,,,,
Harvard,Harvard University,Saarland University,Saarland,,,,,,,,,,,,,,,,,,,,,
HP,Hewlett Packard,Hewlett Packard Enterprise, Hewlett Packard Labs,HP Labs,Hewlett-Packard,Hewlett-Packard Labs,,,,,,,,,,,,,,,,,,
Houston,University of Houston,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Technologies,,,,,,,,,,,,,,,,,,,,,,,
HAilo,,,,,,,,,,,,,,,,,,,,,,,,
IDA,,,,,,,,,,,,,,,,,,,,,,,,
IBM Research,IBM,IBM T. J. Watson Research Center,,,,,,,,,,,,,,,,,,,,,,
IISc,Indian Institute of Science,IISc. India, Indian Institute of Sciences,Indian Institute of Sciences,Indian Institute of Science; Bangalore,IISc Bangalore,Indian Institute of Science Bangalore,,,,,,,,,,,,,,,,,
IIT,Indian Institute of Technology,Indian Institute of Technology Kanpur,Indian Institute of Technology; Chennai,Indian Institute of Technology Chennai,,,,,,,,,,,,,,,,,,,,
INRIA,IRISA/INRIA 2015,Inria,,,,,,,,,,,,,,,,,,,,,,
IRISA,,,,,,,,,,,,,,,,,,,,,,,,
IFLYTECH,IFLYTEK,,,,,,,,,,,,,,,,,,,,,,,
Intel Labs,Intel,Intel Corporation,INTEL,intel,Intel Corp,Intel Corp.,,,,,,,,,,,,,,,,,,
KAIST; Korea,KAIST,Korea Advanced Institute of Science and Technology,,,,,,,,,,,,,,,,,,,,,,
Kore,Kore University,Korea University,,,,,,,,,,,,,,,,,,,,,,
Kyushu,Kyushu University,,,,,,,,,,,,,,,,,,,,,,,
KTH Royal Institute of Technology, KTH,KTH,,,,,,,,,,,,,,,,,,,,,,
Ulsan National Institute of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,
LLNL,Lawrence Livermore National Labs,Lawrence Livermore National Laboratory,Livermore,Livermore Labs,,,,,,,,,,,,,,,,,,,,
LIRMM,,,,,,,,,,,,,,,,,,,,,,,,
